HJY Multigroup Import
Application Version:	3.5.1.20
SystemConfiguration::	FL3-11_1602C-0213-FL
Experiment Time Stamp:	7/11/2024 11:32 PM
Export Time Stamp:	7/12/2024 10:04 AM
Experiment Comment:	None

Integration Time:	1
Time Sequence Interval Points:	301
Time Sequence Experiment Duration:	10:00:00	36000000 (ms)
Repetition Time Sequence Enabled:	False
Repetition Time Sequence Count:	2
Repetition Time Sequence Delay:	0 seconds
Time Sequence Interval Total Points:	301
Time Sequence Experiment Duration Total:	10:00:00	36000000 (ms)

Mono Count:	2
Mono Description:	Excitation 1 (Mono1)	Emission 1 (Mono2)
Mono Slit Width:		5	5
Mono Grating Index:		0	0
Mono Grating Value:		1200	1200

Mono Wavelength Group Count:	3
Mono Wavelength Group Description:	Group 1:(Excitation 1:596 Emission 1:615)	Group 2:(Excitation 1:549 Emission 1:565)	Group 3:(Excitation 1:495 Emission 1:520)

Detector Count:	3
Detector Description:	S1 (SCD1)	R (SCD2)	S1/R (SCD1/SCD2)
Detector High Voltage:	950	None	None

Accessory Sequential Type:	Temperature Controller
Accessory Sequential Description:	Temperature Control (TC1)
Accessory Sequential Scan Position Count:	1
Accessory Sequential Scan Positions:		37

Accessory Interleave Type:	Sample Changer
Accessory Interleave Description:	Sample Changer - 4 Position (SCH1)
Accessory Interleave Scan Position Count:	4
Accessory Interleave Scan Positions:	1	2	3	4

Axis	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
Sequential: Temperature Controller	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)
Interleave: Sample Changer	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)
Detector	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)
WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
1	0	39651	5803	2417447	11606	4376792	0	0.86662	5803	1.07501	11606	1.20836	0	45753.6175024809	5803	2248766.98821406	11606	3622092.75381509	16582	125896	22354	2666398	28158	4945873	16582	0.86658	22354	1.07544	28158	1.20956	16582	145279.143298945	22354	2479355.42661608	28158	4088985.25083501	33134	127282	38922	2878373	44725	5478336	33134	0.86677	38922	1.07534	44725	1.21002	33134	146846.337552061	38922	2676709.6918184	44725	4527475.57891605	49701	93497	55489	2635435	61292	4957811	49701	0.86686	55489	1.07595	61292	1.2094	49701	107857.093417622	55489	2449402.85329244	61292	4099397.22176286
2	120011	39863	125814	2422120	131617	4384273	120011	0.86641	125814	1.07526	131617	1.21019	120011	46009.3950900844	125814	2252590.07123858	131617	3622797.24671333	136593	125598	142365	2646012	148169	4953385	136593	0.86715	142365	1.07569	148169	1.20862	136593	144839.993080782	142365	2459827.64551125	148169	4098380.79793484	153129	127592	158917	2866771	164720	5456572	153129	0.86672	158917	1.07555	164720	1.2093	153129	147212.479232047	158917	2665400.02789271	164720	4512173.98494997	169681	93418	175484	2608594	181287	4937536	169681	0.86659	175484	1.07564	181287	1.20908	169681	107799.53611281	175484	2425155.25640549	181287	4083713.2365104
3	240022	39770	245825	2422107	251628	4369595	240022	0.86732	245825	1.07565	251628	1.20967	240022	45853.8947562607	245825	2251761.26063311	251628	3612220.68828689	256604	124822	262408	2640773	268211	4954012	256604	0.86678	262408	1.07643	268211	1.21006	256604	144006.552989224	262408	2453269.60415447	268211	4094021.78404377	273187	127112	278975	2854611	284778	5442592	273187	0.86665	278975	1.07645	284778	1.20798	273187	146670.512894479	278975	2651875.14515305	284778	4505531.54853557	289754	93615	295526	2600554	301330	4923912	289754	0.8656	295526	1.07381	301330	1.2071	289754	108150.415896488	295526	2421800.87725017	301330	4079125.17604175
4	360033	40311	365820	2417743	371623	4369814	360033	0.8662	365820	1.07496	371623	1.20914	360033	46537.7510967444	365820	2249146.9450026	371623	3613985.14646774	376584	124601	382372	2627226	388175	4959040	376584	0.8661	382372	1.07506	388175	1.20944	376584	143864.449832583	382372	2443794.76494335	388175	4100277.81452573	393167	126441	398955	2850765	404742	5436810	393167	0.86588	398955	1.07496	404742	1.2092	393167	146026.008222848	398955	2651973.09667336	404742	4496204.10188555	409719	93229	415506	2592539	421309	4919454	409719	0.86658	415506	1.07439	421309	1.20828	409719	107582.681345058	415506	2413033.44223234	421309	4071451.98132883
5	480044	39866	485847	2411704	491650	4360477	480044	0.86608	485847	1.07464	491650	1.20836	480044	46030.3898023277	485847	2244197.12647957	491650	3608590.98281969	496611	123880	502398	2628163	508186	4949835	496611	0.86601	502398	1.07476	508186	1.20896	496611	143046.847034099	502398	2445348.72901857	508186	4094291.78798306	513162	126748	518950	2843718	524753	5434477	513162	0.86605	518950	1.07427	524753	1.20971	513162	146351.827261705	518950	2647116.64665308	524753	4492379.99189889	529745	93185	535533	2596560	541336	4917110	529745	0.86617	535533	1.07466	541336	1.20865	529745	107582.807070206	535533	2416168.83479426	541336	4068266.24746618
