HJY Multigroup Import
Application Version:	3.5.1.20
SystemConfiguration::	FL3-11_1602C-0213-FL
Experiment Time Stamp:	3/7/2025 2:07 PM
Export Time Stamp:	3/12/2025 1:54 PM
Experiment Comment:	None

Integration Time:	1
Time Sequence Interval Points:	301
Time Sequence Experiment Duration:	10:00:00	36000000 (ms)
Repetition Time Sequence Enabled:	False
Repetition Time Sequence Count:	2
Repetition Time Sequence Delay:	0 seconds
Time Sequence Interval Total Points:	301
Time Sequence Experiment Duration Total:	10:00:00	36000000 (ms)

Mono Count:	2
Mono Description:	Excitation 1 (Mono1)	Emission 1 (Mono2)
Mono Slit Width:		5	5
Mono Grating Index:		0	0
Mono Grating Value:		1200	1200

Mono Wavelength Group Count:	3
Mono Wavelength Group Description:	Group 1:(Excitation 1:596 Emission 1:615)	Group 2:(Excitation 1:549 Emission 1:565)	Group 3:(Excitation 1:495 Emission 1:520)

Detector Count:	3
Detector Description:	S1 (SCD1)	R (SCD2)	S1/R (SCD1/SCD2)
Detector High Voltage:	950	None	None

Accessory Sequential Type:	Temperature Controller
Accessory Sequential Description:	Temperature Control (TC1)
Accessory Sequential Scan Position Count:	1
Accessory Sequential Scan Positions:		37

Accessory Interleave Type:	Sample Changer
Accessory Interleave Description:	Sample Changer - 4 Position (SCH1)
Accessory Interleave Scan Position Count:	4
Accessory Interleave Scan Positions:	1	2	3	4

Axis	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
Sequential: Temperature Controller	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)	Idx:0(Pos:37.00)
Interleave: Sample Changer	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:0(Pos:1)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:1(Pos:2)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:2(Pos:3)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)	Idx:3(Pos:4)
Detector	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	S1 (SCD1)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	R (SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)	S1/R (SCD1/SCD2)
WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
1	0	23228	5803	350593	11606	4641904	0	0.83844	5803	1.02427	11606	1.09566	0	27703.8309240971	5803	342285.725443487	11606	4236628.15106876	16567	24906	22354	851803	28142	4363232	16567	0.83731	22354	1.02409	28142	1.09623	16567	29745.2556400855	22354	831765.762774756	28142	3980215.83061949	33118	28382	38906	1620145	44694	3866897	33118	0.83861	38906	1.0237	44694	1.09704	33118	33844.099164093	38906	1582636.51460389	44694	3524845.9490994	49654	31815	55442	718078	61245	2274912	49654	0.83792	55442	1.02503	61245	1.09656	49654	37969.0185220546	55442	700543.398729793	61245	2074589.62573867
2	120011	23368	125814	335502	131617	4598036	120011	0.83897	125814	1.02595	131617	1.09848	120011	27853.2009487824	125814	327015.936449145	131617	4185816.76498434	136578	24647	142365	818431	148153	4326745	136578	0.83932	142365	1.02557	148153	1.09807	136578	29365.4386884621	142365	798025.488265062	148153	3940318.01251286	153129	28169	158917	1560100	164705	3830297	153129	0.8396	158917	1.02594	164705	1.09785	153129	33550.5002382087	158917	1520654.22929216	164705	3488907.40993761	169697	31985	175469	692076	181287	2257960	169697	0.83865	175469	1.02581	181287	1.09719	169697	38138.6752518929	175469	674662.949279106	181287	2057948.03087888
3	240022	23617	245825	331734	251612	4574110	240022	0.8396	245825	1.02591	251612	1.09837	240022	28128.8708909004	245825	323355.849928356	251612	4164452.78002859	256573	24842	262345	811453	268148	4318681	256573	0.83933	262345	1.02706	268148	1.0988	256573	29597.416987359	262345	790073.608163106	268148	3930361.3032399	273125	28115	278912	1546145	284716	3826396	273125	0.83937	278912	1.02701	284716	1.09903	273125	33495.3596149493	278912	1505481.93298994	284716	3481611.96691628	289692	31666	295464	685876	301267	2254513	289692	0.83967	295464	1.02713	301267	1.09904	289692	37712.4346469446	295464	667759.679884727	301267	2051347.53967099
4	360033	23498	365820	330096	371623	4561948	360033	0.84086	365820	1.02731	371623	1.10046	360033	27945.1989629665	365820	321320.730840739	371623	4145491.88521164	376584	24956	382372	806502	388175	4309713	376584	0.84128	382372	1.02809	388175	1.10017	376584	29664.3210346139	382372	784466.340495482	388175	3917315.50578547	393151	28042	398923	1539686	404727	3817883	393151	0.84036	398923	1.0276	404727	1.10044	393151	33369.0323194821	398923	1498332.0358116	404727	3469414.96128821	409687	31730	415459	684382	421263	2249203	409687	0.84097	415459	1.02748	421263	1.09925	409687	37730.2400799077	415459	666078.171837895	421263	2046125.08528542
5	480044	23628	485847	330146	491650	4553518	480044	0.84079	485847	1.02804	491650	1.10111	480044	28102.1420330879	485847	321141.200731489	491650	4135388.83490296	496611	24722	502398	805795	508202	4302116	496611	0.84093	502398	1.02861	508202	1.09994	496611	29398.4041477888	502398	783382.428714479	508202	3911227.88515737	513178	28109	518966	1538901	524769	3814715	513178	0.84126	518966	1.02862	524769	1.10091	513178	33412.9757744336	518966	1496083.10163131	524769	3465056.18079589	529745	32198	535533	683299	541336	2246748	529745	0.84141	535533	1.02857	541336	1.0998	529745	38266.7189598412	535533	664319.394888048	541336	2042869.61265685
